,mean,sd,95%_HPDL,95%_HPDU,n.eff,median
Intercept,19.5,0.74,18.04,20.94,4804,19.5
stud_pre_cent,-0.33,0.01,-0.35,-0.31,20478,-0.33
retake,3,0.5,2.02,3.96,33486,3
gend_URM,-2.27,0.41,-3.1,-1.48,22617,-2.27
asian_no_int,-2.23,0.65,-3.5,-0.97,24611,-2.23
black_no_int,-6.85,1.26,-9.39,-4.45,25790,-6.85
hispanic_no_int,-3.9,0.56,-4.99,-2.8,25256,-3.9
race_other_no_int,-3.82,0.76,-5.27,-2.28,25969,-3.82
pacisland_no_int,-6.99,1.99,-10.92,-3.19,25708,-6.98
gend_URM.asian_no_int,1.03,0.96,-0.81,2.94,25216,1.03
gend_URM.black_no_int,1.6,1.74,-1.8,5,25458,1.6
gend_URM.hispanic_no_int,-1.02,0.86,-2.77,0.62,24882,-1.02
gend_URM.race_other_no_int,2.42,1.14,0.19,4.63,24628,2.41
gend_URM.pacisland_no_int,2.64,3.12,-3.49,8.68,29660,2.67
b..Intercept..course_id.17.,-3.26,1.25,-5.69,-0.81,10612,-3.26
b..Intercept..course_id.18.,0.07,1.9,-3.72,3.68,20060,0.07
b..Intercept..course_id.57.,-2.27,3.7,-9.52,4.98,38207,-2.29
b..Intercept..course_id.58.,-2.17,3.37,-8.88,4.38,37375,-2.18
b..Intercept..course_id.59.,1.63,3.97,-6.22,9.16,40004,1.59
b..Intercept..course_id.60.,3.84,3.72,-3.51,10.97,39896,3.84
b..Intercept..course_id.77.,3.78,1.48,0.85,6.65,14658,3.77
b..Intercept..course_id.129.,-4.7,2.34,-9.22,-0.07,24492,-4.71
b..Intercept..course_id.130.,-6.17,3.71,-13.35,1.15,40670,-6.2
b..Intercept..course_id.132.,8.47,2.04,4.44,12.43,20711,8.45
b..Intercept..course_id.133.,11.29,1.21,8.96,13.65,9934,11.26
b..Intercept..course_id.135.,11.68,1.22,9.2,14.03,9905,11.66
b..Intercept..course_id.136.,8.38,2.95,2.54,14.11,33291,8.38
b..Intercept..course_id.138.,1.39,2.8,-3.99,7.07,29080,1.4
b..Intercept..course_id.139.,-4.53,2.91,-10.11,1.15,31091,-4.53
b..Intercept..course_id.141.,-5.44,3.2,-11.59,1,38343,-5.44
b..Intercept..course_id.143.,2.61,3.89,-4.79,10.48,43692,2.62
b..Intercept..course_id.145.,-9.38,3.28,-15.68,-2.82,37179,-9.38
b..Intercept..course_id.150.,-6.14,3.78,-13.52,1.31,38426,-6.14
b..Intercept..course_id.152.,-2.09,2.75,-7.31,3.5,30769,-2.1
b..Intercept..course_id.153.,8.56,2.47,3.7,13.41,26527,8.56
b..Intercept..course_id.154.,12.65,2.64,7.29,17.71,30625,12.65
b..Intercept..course_id.155.,-5.4,3.33,-11.97,0.97,32919,-5.42
b..Intercept..course_id.157.,6.73,2.57,1.6,11.69,26484,6.71
b..Intercept..course_id.159.,19.84,2.51,14.92,24.81,27631,19.84
b..Intercept..course_id.161.,7.16,3.24,1.02,13.59,32749,7.15
b..Intercept..course_id.162.,5.48,2.67,0.24,10.62,28518,5.47
b..Intercept..course_id.163.,-2.27,2.84,-7.65,3.55,29219,-2.27
b..Intercept..course_id.164.,-4.49,3.06,-10.43,1.5,36653,-4.47
b..Intercept..course_id.188.,6.45,1.3,3.97,9.05,12047,6.44
b..Intercept..course_id.190.,5.92,2.91,0.16,11.57,32137,5.9
b..Intercept..course_id.191.,-4.45,2.67,-9.39,0.95,30253,-4.43
b..Intercept..course_id.202.,2.01,3.18,-4.23,8.17,32775,2.02
b..Intercept..course_id.203.,1.82,3.32,-4.71,8.27,39403,1.81
b..Intercept..course_id.233.,-10.97,1.84,-14.51,-7.37,19643,-10.97
b..Intercept..course_id.240.,-1.88,1.59,-4.98,1.22,16412,-1.9
b..Intercept..course_id.244.,-10.15,3.46,-16.89,-3.43,37320,-10.17
b..Intercept..course_id.245.,-7.83,2.86,-13.47,-2.31,32397,-7.8
b..Intercept..course_id.246.,-13.34,2.82,-18.86,-7.9,30361,-13.34
b..Intercept..course_id.248.,-2.25,2.82,-7.74,3.38,33729,-2.23
b..Intercept..course_id.251.,-11.11,3.21,-17.14,-4.67,32905,-11.09
b..Intercept..course_id.257.,-12.24,2.36,-16.87,-7.63,26880,-12.22
b..Intercept..course_id.258.,-11.67,2.54,-16.72,-6.81,29601,-11.64
b..Intercept..course_id.260.,-7.02,1.6,-10.09,-3.78,15919,-7.02
b..Intercept..course_id.265.,-0.4,3.27,-7,5.82,34201,-0.37
b..Intercept..course_id.266.,1.5,3.42,-5.06,8.17,36714,1.48
b..Intercept..course_id.267.,0.71,3.24,-5.6,7.11,36333,0.74
